Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify the Login of Site,,,,2023-08-21 18:06:03,2023-08-21 18:06:06,"3,459s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-N1,,,login,2023-08-21 18:06:05,2023-08-21 18:06:05,"0,041s",FAILED
"openBrowser("""")",,,,2023-08-21 18:06:05,2023-08-21 18:06:05,"0,034s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-N2,,,login,2023-08-21 18:06:05,2023-08-21 18:06:05,"0,041s",FAILED
"openBrowser("""")",,,,2023-08-21 18:06:05,2023-08-21 18:06:05,"0,032s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-N3,,,login,2023-08-21 18:06:06,2023-08-21 18:06:06,"0,042s",FAILED
"openBrowser("""")",,,,2023-08-21 18:06:06,2023-08-21 18:06:06,"0,035s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-P,,,login,2023-08-21 18:06:06,2023-08-21 18:06:06,"0,045s",FAILED
"openBrowser("""")",,,,2023-08-21 18:06:06,2023-08-21 18:06:06,"0,038s",FAILED
