Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Edge Chromium 115,,,2023-08-21 18:14:19,2023-08-21 18:14:21,"2,700s",PASSED
navigateToUrl(urlLoginPage),Edge Chromium 115,,,2023-08-21 18:14:21,2023-08-21 18:14:26,"4,890s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Username""), 5)",Edge Chromium 115,,,2023-08-21 18:14:26,2023-08-21 18:14:27,"0,981s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Username""))",Edge Chromium 115,,,2023-08-21 18:14:27,2023-08-21 18:14:28,"0,378s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Password""), 5)",Edge Chromium 115,,,2023-08-21 18:14:28,2023-08-21 18:14:28,"0,339s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Password""))",Edge Chromium 115,,,2023-08-21 18:14:28,2023-08-21 18:14:28,"0,326s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/btn_Login""), 5)",Edge Chromium 115,,,2023-08-21 18:14:28,2023-08-21 18:14:29,"0,326s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/btn_Login""))",Edge Chromium 115,,,2023-08-21 18:14:29,2023-08-21 18:14:29,"0,350s",PASSED
"verifyElementClickable(findTestObject(""Page_OrangeHRM/btn_Login""))",Edge Chromium 115,,,2023-08-21 18:14:29,2023-08-21 18:14:29,"0,360s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/inp_Username""), username_valid)",Edge Chromium 115,valid senario,,2023-08-21 18:14:29,2023-08-21 18:14:29,"0,172s",FAILED
