Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify the Login of Site,,,,2023-08-21 18:07:56,2023-08-21 18:08:01,"4,199s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-N1,,,login,2023-08-21 18:08:00,2023-08-21 18:08:00,"0,055s",FAILED
"openBrowser("""")",,,,2023-08-21 18:08:00,2023-08-21 18:08:00,"0,042s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-N2,,,login,2023-08-21 18:08:00,2023-08-21 18:08:00,"0,042s",FAILED
"openBrowser("""")",,,,2023-08-21 18:08:00,2023-08-21 18:08:00,"0,033s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-N3,,,login,2023-08-21 18:08:00,2023-08-21 18:08:00,"0,026s",FAILED
"openBrowser("""")",,,,2023-08-21 18:08:00,2023-08-21 18:08:00,"0,020s",FAILED
,,,,,,,
Test Cases/Verify the Login of Site-P,,,login,2023-08-21 18:08:01,2023-08-21 18:08:01,"0,035s",FAILED
"openBrowser("""")",,,,2023-08-21 18:08:01,2023-08-21 18:08:01,"0,029s",FAILED
