Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify the Login of Site,Chrome 115.0.0.0,,,2023-08-21 18:03:09,2023-08-21 18:05:04,"1m - 54,990s",PASSED
,,,,,,,
Test Cases/Verify the Login of Site-N1,Chrome 115.0.0.0,,login,2023-08-21 18:03:09,2023-08-21 18:03:31,"21,670s",PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-21 18:03:10,2023-08-21 18:03:13,"3,411s",PASSED
navigateToUrl(urlLoginPage),Chrome 115.0.0.0,,,2023-08-21 18:03:13,2023-08-21 18:03:24,"10,531s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Username""), 5)",Chrome 115.0.0.0,,,2023-08-21 18:03:24,2023-08-21 18:03:25,"0,935s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Username""))",Chrome 115.0.0.0,,,2023-08-21 18:03:25,2023-08-21 18:03:25,"0,391s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Password""), 5)",Chrome 115.0.0.0,,,2023-08-21 18:03:25,2023-08-21 18:03:25,"0,324s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Password""))",Chrome 115.0.0.0,,,2023-08-21 18:03:25,2023-08-21 18:03:26,"0,346s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/btn_Login""), 5)",Chrome 115.0.0.0,,,2023-08-21 18:03:26,2023-08-21 18:03:26,"0,332s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 18:03:26,2023-08-21 18:03:26,"0,342s",PASSED
"verifyElementClickable(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 18:03:26,2023-08-21 18:03:27,"0,350s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/inp_Username""), username_valid)",Chrome 115.0.0.0,"invalid senario 1: valid username, invalid password.",,2023-08-21 18:03:27,2023-08-21 18:03:28,"0,685s",PASSED
"setText(findTestObject(""Page_OrangeHRM/inp_Password""), password_invalid)",Chrome 115.0.0.0,,,2023-08-21 18:03:28,2023-08-21 18:03:28,"0,682s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 18:03:28,2023-08-21 18:03:29,"0,397s",PASSED
try,Chrome 115.0.0.0,,,2023-08-21 18:03:29,2023-08-21 18:03:30,"1,661s",PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-21 18:03:30,2023-08-21 18:03:31,"0,825s",PASSED
,,,,,,,
Test Cases/Verify the Login of Site-N2,Chrome 115.0.0.0,,login,2023-08-21 18:03:31,2023-08-21 18:03:48,"17,085s",PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-21 18:03:31,2023-08-21 18:03:33,"1,336s",PASSED
