Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPresent(findTestObject(""Page_OrangeHRM/btn_Login""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:41,2023-08-21 17:57:41,"0,338s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:41,2023-08-21 17:57:42,"0,367s",PASSED
"verifyElementClickable(findTestObject(""Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:42,2023-08-21 17:57:42,"0,339s",PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/inp_Username""), username_invalid)",Chrome 115.0.0.0,"invalid senario 3: invalid username, invalid password.",,2023-08-21 17:57:42,2023-08-21 17:57:43,"0,673s",PASSED
"setText(findTestObject(""Page_OrangeHRM/inp_Password""), password_invalid)",Chrome 115.0.0.0,,,2023-08-21 17:57:43,2023-08-21 17:57:43,"0,663s",PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/btn_Login""))",Chrome 115.0.0.0,,,2023-08-21 17:57:43,2023-08-21 17:57:44,"0,363s",PASSED
try,Chrome 115.0.0.0,,,2023-08-21 17:57:44,2023-08-21 17:57:45,"1,219s",PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-08-21 17:57:45,2023-08-21 17:57:46,"0,795s",PASSED
,,,,,,,
Test Cases/Verify the Login of Site-P,Chrome 115.0.0.0,,login,2023-08-21 17:57:46,2023-08-21 17:58:31,"45,456s",PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-21 17:57:46,2023-08-21 17:57:47,"1,338s",PASSED
navigateToUrl(urlLoginPage),Chrome 115.0.0.0,,,2023-08-21 17:57:47,2023-08-21 17:57:53,"5,608s",PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/inp_Username""), 5)",Chrome 115.0.0.0,,,2023-08-21 17:57:53,2023-08-21 17:57:54,"1,002s",PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/inp_Username""))",Chrome 115.0.0.0,,,2023-08-21 17:57:54,2023-08-21 17:57:54,"0,356s",PASSED
